task_id	name	status	priority	issue_type	app_section	owner	parent	notes	created_at	completed_at
1213103502476646	restore double click to add and remove keyframes	Completed			Timeline	Unassigned			2026-02-03 17:06:11	2026-02-03 18:07:45
1213070073876335	Restore keyframe property copy/paste	Completed			General	Unassigned		Feature Request: Bring back copy keyframe properties paste keyframe properties.\n\nContext: This functionality appears to have been removed or is currently missing from the Properties panel.\n\nExpected Behavior: \n\n    Users should be able to copy properties from one keyframe\n    Paste those properties to other keyframes\n    Maintain all property values and settings during copy/paste operation	2026-02-01 15:49:04	2026-02-06 18:15:01
1213152751327500	s	Completed				Unassigned	Add mouse controller for realtime animation		2026-02-06 15:15:45	2026-04-22 18:44:31
1213387118254145	Save as Layer animation	Completed				Unassigned	I need a library of "layer" animation I can copy over into current animation		2026-02-22 20:43:49	2026-04-22 18:44:33
1213070073876394	see notes	Completed				Unassigned	Rezible 0,0 Canvas		2026-02-02 11:18:47	2026-04-22 18:44:34
1213589928739647	the effects added to much weight to the player code on export, give me an option to toggle oon/off effects when exporting player code, and default it to off	Completed				Alexa			2026-03-10 10:49:49	2026-04-22 18:45:05
1213103523813974	There is a big where when I ed	Completed			Timeline	Unassigned			2026-02-03 18:32:16	2026-02-06 18:15:54
1213422326879699	there is a bug in molecules (size) and need to be filled out with remainign aminos	Completed				Unassigned			2026-02-24 12:11:34	2026-04-22 18:45:12
1213142145201273	When renaming a project or saving  it jumps out of the container folder	Completed		Bug	File System	Unassigned			2026-02-05 17:39:27	2026-02-06 18:14:12
1213070073876313	Re-implement keyframe property copy/paste	Cancelled	High	UX/UI	General	Unassigned		Task: Re-implement copy/paste keyframe properties on top of layer panel.\n\nStatus: Completed (crossed out in original list)\n\nExpected Behavior: Users should be able to copy keyframe properties and paste them to other keyframes using controls in the layer panel header area.	2026-02-01 15:47:04	
1213387118254097	Copy Paste layers is not obvious	Cancelled	Medium	UX/UI	Timeline	Unassigned			2026-02-22 17:33:35	
1213070073876360	Fix keyframe creation before first frame	Cancelled	Medium	Bug	Timeline	Unassigned		Bug: I can't create key frames in front of the first keyframe.\n\nExpected Behavior: Users should be able to create keyframes at any position on the timeline, including before the current first keyframe.	2026-02-01 15:50:23	2026-02-23 19:21:11
1213070073876358	Fix keyframe creation outside layer bar	Cancelled	Medium	Bug	Timeline	Unassigned		Bug: I can create key frames outside the layer bar.\n\nExpected Behavior: Keyframe creation should be constrained to valid timeline positions within the layer bar boundaries.	2026-02-01 15:50:23	2026-02-23 19:21:08
1213070073876282	Fix layer bar keyframe attachment	Cancelled	Medium	Bug	Timeline	Unassigned		Issue: Layer bar is now detached from the second keyframe; it should not be resizable on its own, but automatically size from first keyframe to last keyframe in the bar.\n\nExpected Behavior: Layer bar should automatically span from first to last keyframe without independent resizing capability.	2026-02-01 15:46:19	2026-02-23 19:21:08
1213387118254133	need edit button on preview window in folder view	Cancelled	Low	UX/UI	General	Unassigned			2026-02-22 19:50:56	
1213142138288918	Add a golden ratio shape	Future Upgrades	Low	Ideas	General	Unassigned			2026-02-05 16:46:09	
1213070073876354	Add direct shape manipulation	Future Upgrades	Low	Ideas	Canvas	Unassigned		Enhancement: Ability to move and resize shapes when clicking on the screen with the mouse, a bounding box appears with handles to resize and rotate.\n\nExpected Behavior: \n\n    Click on shapes to select them directly in the viewport\n    Show bounding box with resize handles\n    Include rotation handles for direct manipulation\n    Real-time visual feedback during transformations	2026-02-01 15:50:22	
1213891513519209	build a framer export	Future Upgrades	Low	Ideas	General	Alexa			2026-04-01 20:52:29	
1213422319914136	can I change number of vertices in timelien as variable	Future Upgrades	Low	Feature Request	Animation Variables	Unassigned			2026-02-24 11:15:01	
1213409303569238	Explore adding states that trigger elements (study rive)	Future Upgrades	Low	Ideas	Animation Variables	Unassigned			2026-02-23 19:34:08	
1213070073876356	Explore mouse-driven animation	Future Upgrades	Low	Ideas	Canvas	Unassigned		Enhancement: Explore adding an option that moving mouse drags animation. This would mean different things for different elements, or ask AI to implement on a instance animation with delay effect.\n\nExpected Behavior: \n\n    Mouse movement controls animation playback\n    Different behaviors for different element types\n    Consider AI-assisted implementation for complex animations\n    Include delay effects for instance animations	2026-02-01 15:50:23	
1213070073876296	Improve play button visibility	Future Upgrades	Low	UX/UI	Timeline	Unassigned		Enhancement: Put circle around play triangle make icon more obvious.\n\nExpected Behavior: Play button should be more visually prominent and easier to identify in the interface.	2026-02-01 15:46:22	
1213070073876391	Rezible 0,0 Canvas	Future Upgrades	Low	Feature Request	Canvas	Unassigned		Explore adding option for defining canvas when starting a project\n\nCanvas should allow for zoom in and out\n\non canvas	2026-02-02 11:18:06	
1213070073876389	maybe create tiny little movies to play in the file view as thum	Future Upgrades		Ideas		Unassigned	video thumbnails		2026-02-01 22:43:58	
1213589928739644	Missing ability to create and save global gradients to apply	Future Upgrades		Feature Request		Alexa			2026-03-10 10:41:53	
